gene	pVal	padj	log2FC
RBPJ	1.49040900520877e-13	2.1581122395423e-09	0.273097429382582
LBH	2.82624149670297e-08	0.000409239768723	0.27306684634198
DYNLL1	2.52583800752482e-10	3.65741343489594e-06	0.270541246986563
NME2	2.25736065443612e-14	3.2686582276235e-10	0.269299620355319
MT1F	3.53683302978482e-19	5.12133422712841e-15	0.269107716838752
SYNGR2	1.59245335875071e-09	2.30587246347102e-05	0.268996077066603
ABTB1	2.24083760676481e-09	3.24473285459544e-05	0.268175820653195
ZGPAT	5.23183703426547e-08	0.000757570002562	0.268129955609752
CD63	4.65259033673128e-11	6.73695080758689e-07	0.267629499331614
ILK	5.52581774893552e-08	0.000800138410046	0.267589545334181
SKA2	1.32650979832626e-16	1.92078618797642e-12	0.267495180081607
TMEM204	1.56855054815766e-15	2.2712611937323e-11	0.266798204355269
ACO2	8.16145602259338e-10	1.18177883207152e-05	0.265486058125346
HOPX	4.41651081535949e-10	6.39510766064054e-06	0.264084919303915
CRIP1	1.6396704636822e-12	2.37424283141183e-08	0.262600683695637
OXNAD1	1.34536547027732e-08	0.000194808920096	0.261663807254291
CCS	1.64015858815517e-06	0.023749496356487	0.261597868460187
GRAP2	9.41933599375384e-13	1.36391985189556e-08	0.261354058659255
GSTO1	1.77761084419111e-09	2.57398050238873e-05	0.26132480346752
HADHB	5.75413804929842e-08	0.000833199189538	0.25983046888735
IL16	5.81078790159582e-23	8.41402088151075e-19	0.258989142978079
PIN4	3.02816908518951e-07	0.004384788835354	0.258962163949654
CUEDC2	1.35264977086937e-06	0.019586368682188	0.256388431065039
CALM3	3.41200414694462e-09	4.9405820047758e-05	0.25601786630791
SAMSN1	1.8898323541796e-07	0.002736477248852	0.255909778867252
HM13	1.89927661182133e-11	2.75015253391729e-07	0.255866018916607
SNAP23	6.62797634324822e-07	0.009597309745023	0.255401542302408
LPCAT4	4.63681378189974e-12	6.71410635619082e-08	0.255284360129664
FAAP20	3.12247641022565e-08	0.000452134584201	0.254670081715494
EFHD2	2.06776417109145e-12	2.99412251974043e-08	0.254610958947947
PRDX3	5.52016274817449e-09	7.99319565935666e-05	0.25416745739682
CCM2	4.03369515670047e-11	5.84079058690228e-07	0.253049488177385
C22orf39	7.08527480645252e-10	1.02594779197432e-05	0.252542507495408
SDHA	4.78106748699029e-08	0.000692298572116	0.252487486812231
ARRDC1	1.51566366874724e-10	2.194680992346e-06	0.252085769830219
MAP4K1	6.89113595200823e-11	9.97836485850792e-07	0.251940455919801
NDUFA13	1.45033527890651e-12	2.10008548385663e-08	0.251395370807122
IL27RA	4.03700672766233e-10	5.84558574165506e-06	0.250218705641227
C14orf119	4.06491544566824e-11	5.88599756532762e-07	0.250095943590808
