gene	pVal	adj.pVal	log2FC
ITGB1	5.06208448877524e-10	7.32989833974655e-06	0.273826511936538
RBPJ	1.49040900520877e-13	2.1581122395423e-09	0.273097429382582
LBH	2.82624149670297e-08	0.000409239768723	0.27306684634198
DYNLL1	2.52583800752482e-10	3.65741343489594e-06	0.270541246986563
NME2	2.25736065443612e-14	3.2686582276235e-10	0.269299620355319
MT1F	3.53683302978482e-19	5.12133422712841e-15	0.269107716838752
SYNGR2	1.59245335875071e-09	2.30587246347102e-05	0.268996077066603
ABTB1	2.24083760676481e-09	3.24473285459544e-05	0.268175820653195
ZGPAT	5.23183703426547e-08	0.000757570002562	0.268129955609752
CD63	4.65259033673128e-11	6.73695080758689e-07	0.267629499331614
ILK	5.52581774893552e-08	0.000800138410046	0.267589545334181
SKA2	1.32650979832626e-16	1.92078618797642e-12	0.267495180081607
TMEM204	1.56855054815766e-15	2.2712611937323e-11	0.266798204355269
ACO2	8.16145602259338e-10	1.18177883207152e-05	0.265486058125346
HOPX	4.41651081535949e-10	6.39510766064054e-06	0.264084919303915
CRIP1	1.6396704636822e-12	2.37424283141183e-08	0.262600683695637
OXNAD1	1.34536547027732e-08	0.000194808920096	0.261663807254291
CCS	1.64015858815517e-06	0.023749496356487	0.261597868460187
GRAP2	9.41933599375384e-13	1.36391985189556e-08	0.261354058659255
GSTO1	1.77761084419111e-09	2.57398050238873e-05	0.26132480346752
HADHB	5.75413804929842e-08	0.000833199189538	0.25983046888735
IL16	5.81078790159582e-23	8.41402088151075e-19	0.258989142978079
PIN4	3.02816908518951e-07	0.004384788835354	0.258962163949654
CUEDC2	1.35264977086937e-06	0.019586368682188	0.256388431065039
CALM3	3.41200414694462e-09	4.9405820047758e-05	0.25601786630791
SAMSN1	1.8898323541796e-07	0.002736477248852	0.255909778867252
HM13	1.89927661182133e-11	2.75015253391729e-07	0.255866018916607
SNAP23	6.62797634324822e-07	0.009597309745023	0.255401542302408
LPCAT4	4.63681378189974e-12	6.71410635619082e-08	0.255284360129664
FAAP20	3.12247641022565e-08	0.000452134584201	0.254670081715494
EFHD2	2.06776417109145e-12	2.99412251974043e-08	0.254610958947947
PRDX3	5.52016274817449e-09	7.99319565935666e-05	0.25416745739682
CCM2	4.03369515670047e-11	5.84079058690228e-07	0.253049488177385
C22orf39	7.08527480645252e-10	1.02594779197432e-05	0.252542507495408
SDHA	4.78106748699029e-08	0.000692298572116	0.252487486812231
ARRDC1	1.51566366874724e-10	2.194680992346e-06	0.252085769830219
MAP4K1	6.89113595200823e-11	9.97836485850792e-07	0.251940455919801
NDUFA13	1.45033527890651e-12	2.10008548385663e-08	0.251395370807122
IL27RA	4.03700672766233e-10	5.84558574165506e-06	0.250218705641227
C14orf119	4.06491544566824e-11	5.88599756532762e-07	0.250095943590808
RPS25	3.56284655987793e-52	5.15900181870324e-48	-0.250490520128997
METAP2	0.003709709063798	1	-0.251161603648038
PPDPF	7.26864940503289e-32	1.05250043384876e-27	-0.251551548643986
RPS6	7.3397970409551e-55	1.0628026115303e-50	-0.251722724588153
RPL36	1.18200568749368e-51	1.71154423549085e-47	-0.251870425094495
RPL34	3.23073788958894e-53	4.67810846412478e-49	-0.252091600985195
RPL37	6.13387171770297e-54	8.8818462472339e-50	-0.252329128651022
RPS18	3.42915210064437e-55	4.96541224173304e-51	-0.252744638424327
RPL14	5.06578406550267e-53	7.33525532684786e-49	-0.25296869237473
RPL11	8.23718462615108e-54	1.19274433386668e-49	-0.253132985808746
RPL13	4.24278644722987e-57	6.14355477558886e-53	-0.253303528560811
PDE4D	0.001861310480447	1	-0.253566879425961
ARL4C	5.34347056660642e-05	0.773734538044609	-0.253861763971701
RPL30	2.23403847597862e-51	3.23488771321704e-47	-0.25464888078074
TPT1	8.01152151857573e-59	1.16006831588977e-54	-0.254760385514269
RPS27A	3.95237023217781e-56	5.72303209619347e-52	-0.255640837956207
RPL10	7.39318868506179e-56	1.07053372159695e-51	-0.256563969450713
THOC7	0.007141259984353	1	-0.256803938045035
RPLP0	8.40902867025802e-58	1.21762735145336e-53	-0.257109700789457
EIF1	8.49498656041232e-59	1.2300740539477e-54	-0.257661907160237
HTATIP2	0.002246876839453	1	-0.257879074201024
RPS13	2.52847725891728e-53	3.66123507091222e-49	-0.258022001147046
SLC3A2	1.13269653609929e-06	0.016401445842718	-0.258343922044331
SERP1	3.26639286294438e-10	4.72973686554346e-06	-0.258873599532007
RPL32	1.43852821639582e-55	2.08298885734114e-51	-0.260273299994596
RPL24	1.26852913594531e-49	1.83683018884881e-45	-0.26145828460344
RPL7	1.37387410968478e-35	1.98936971082356e-31	-0.262525035890804
CXCR4	2.37177574596093e-06	0.034343312801514	-0.263821124343755
MT-ATP6	5.90937724640078e-52	8.55677825278833e-48	-0.263943322713057
RPS14	1.15750139983861e-58	1.67606202696631e-54	-0.263955126521159
RPL18A	1.58652450622782e-56	2.29728748501788e-52	-0.264281646261372
RPL19	4.52511377208188e-57	6.55236474197457e-53	-0.264740896924642
RPS8	3.15566118731219e-58	4.56939739922805e-54	-0.265829826313611
MBNL1	8.23599985408958e-07	0.011925727788722	-0.267062678935787
RPL21	4.50956898907896e-56	6.52985589618633e-52	-0.26843306894181
RPL39	1.46734439285967e-56	2.12471468086081e-52	-0.268510927094281
VAMP2	0.005997042516773	1	-0.269052271167369
RPS12	1.36248541441339e-58	1.97287888007059e-54	-0.271188466127126
EIF1AX	0.001062466333397	1	-0.271354467129905
SARAF	1.63288658413303e-43	2.36441977382463e-39	-0.272077981015541
RPL9	2.48551189403317e-59	3.59902122256003e-55	-0.273764985476144
RSL24D1	1.68899363400318e-05	0.244566278203661	-0.275699760700491
AHNAK	0.000289357843172	1	-0.277555574869339
LDHA	1.13917706252078e-16	1.64952838653009e-12	-0.281834609141399
RPS16	6.54149269850464e-62	9.47208142743472e-58	-0.28535174991584
ANP32B	1.05701707232118e-12	1.53056072072106e-08	-0.286257622538386
RPL38	1.58034073817776e-45	2.2883333888814e-41	-0.287145187226746
PABPC1	7.00774470199279e-26	1.01472143284856e-21	-0.288174521804661
SPOCK2	3.93322353850789e-12	5.69530768375942e-08	-0.28825291409166
ATF4	0.000360774417369	1	-0.288666633247623
RPS9	3.58342591324257e-53	5.18880072237524e-49	-0.290748130031639
CIRBP	2.66071008732638e-14	3.8527082064486e-10	-0.291314894215354
BZW1	7.75803213057104e-05	1	-0.291385154016812
SMDT1	9.10098861381626e-07	0.013178231512806	-0.292396491274466
MALAT1	4.74150659817904e-71	6.86570155416325e-67	-0.292650703275466
EIF3E	1.77406063530416e-10	2.56883979992043e-06	-0.297934824430887
ZC3H15	0.000233607620911	1	-0.297962366017784
SLC2A3	6.02044533672338e-05	0.871760484757545	-0.301479647085529
IFITM1	1.99371654505076e-10	2.8869015572335e-06	-0.30657710056466
SYNE2	3.81726273729754e-07	0.005527396443607	-0.306903083294239
TUBA4A	4.47925903840865e-06	0.064859670876157	-0.307165028784318
TOMM20	3.0034892400405e-08	0.000434905241958	-0.30916645782275
SAT1	7.73854885614206e-07	0.011205418743694	-0.310936613095908
PRDX2	1.35160193291058e-06	0.019571195988545	-0.313104237347578
SRRM2	1.16979388384578e-06	0.016938615438087	-0.314176970049832
EEF1B2	3.53504680823534e-42	5.11874777832477e-38	-0.315470720533583
S100A10	5.53156059191126e-32	8.00969973708751e-28	-0.316310016207699
RPL36A	6.34943583728274e-26	9.19398309238541e-22	-0.317619009456234
RELB	0.000178712171815	1	-0.319484726359233
JUNB	5.99645944271617e-06	0.08682873273053	-0.32153516541572
TAF1D	1.26799213425691e-05	0.183605261040401	-0.32188319495396
HNRNPDL	2.27350018986176e-21	3.29202827491983e-17	-0.322280889132242
TUBB4B	4.27713166397776e-09	6.1932866494398e-05	-0.32780716885244
EPC1	2.76968107541813e-10	4.01049819720545e-06	-0.329346783753435
SNX9	5.95236142993141e-05	0.861901935054068	-0.330369862955083
KRAS	2.03471299589723e-07	0.002946264418059	-0.330519766066349
CCNL1	9.11672707674258e-06	0.132010208071233	-0.334099144568107
FUS	9.77813424032649e-08	0.001415873837999	-0.33483381673084
TUBA1B	8.32763882938896e-18	1.20584210249552e-13	-0.343349964210771
RPL27A	4.50864510545118e-31	6.52851811269331e-27	-0.345047155612795
CYTIP	1.59692691871465e-14	2.31235017829882e-10	-0.349956784279168
HIF1A	0.000184606442768	1	-0.350220663458113
SBDS	9.90228817966141e-06	0.143385132841497	-0.353264788255351
TUBB	2.09097411056308e-23	3.02773051209534e-19	-0.356251362105214
TNFAIP3	1.78828703171557e-09	2.58943962192415e-05	-0.356490625859781
FOXP1	5.64377692702404e-07	0.008172188990331	-0.357166446667309
CNIH1	5.69274106158728e-05	0.824308905717838	-0.358854514624809
TMEM123	7.08948471632314e-06	0.102655738692359	-0.363146836148561
EMP3	2.35018959236256e-32	3.40307452974099e-28	-0.369040875052739
SRSF2	3.22767882167017e-07	0.004673678933778	-0.369341860801097
IMPDH2	1.45351531575859e-05	0.210469017721844	-0.373977696264836
ZFAS1	1.80565494196126e-20	2.61458835595991e-16	-0.379559249709699
ARID5B	1.20112474067232e-07	0.001739228624494	-0.381481519118786
PLIN2	2.92751468807536e-07	0.004239041268333	-0.385271150024747
RORA	2.1845881911882e-06	0.031632837008405	-0.389944416953305
EML4	1.61742023146035e-10	2.34202449515459e-06	-0.394026438216816
TSC22D3	6.36103437309523e-26	9.21077777224189e-22	-0.397782015174601
LGALS3	9.36269461187965e-15	1.35571817980017e-10	-0.398511318861084
LEPROTL1	3.78769407768758e-15	5.48458102449162e-11	-0.409451813572277
UPP1	6.00505430607284e-07	0.008695318635193	-0.410016586805462
ODC1	2.27523427507932e-09	3.29453923031485e-05	-0.419279771829015
TUBA1C	6.7696292633271e-09	9.80242317329765e-05	-0.423917795885519
NEAT1	2.56572316600264e-17	3.71516714437183e-13	-0.430055844762341
PPP1R15A	2.46924277596876e-19	3.57546353960277e-15	-0.43366462007175
ANXA1	1.83043789351537e-25	2.65047406981025e-21	-0.442037543725655
CD69	9.40075073675744e-09	0.000136122870668	-0.442893826591234
DDIT4	0.000229677873603	1	-0.449481943014134
IER2	1.83399740959482e-08	0.000265562824909	-0.449994824906214
SNHG8	1.25124473502488e-11	1.81180237631602e-07	-0.457936422857102
LINC00623	2.83080478806179e-07	0.004099005333113	-0.462860954400246
NFKBIA	3.78031623430079e-23	5.47389790726754e-19	-0.473185854913274
TUBA1A	1.10178678718623e-18	1.59538726784566e-14	-0.476639098507817
KLF6	4.78648847194994e-60	6.93083530738351e-56	-0.485133289459523
CD44	5.22497262612232e-29	7.56576036262512e-25	-0.502475363149513
MCUB	1.9971580501811e-17	2.89188485666223e-13	-0.537176351488542
RGCC	1.44995576662054e-11	2.09953595006655e-07	-0.556193885585367
MBP	5.53435687924452e-14	8.01374876114606e-10	-0.574083384170192
LTB	7.693393276024e-25	1.11400334636827e-20	-0.626291397095202
TTC39C	2.15705885488734e-15	3.12342122187687e-11	-0.646681004565035
FAM102A	5.14314159153997e-11	7.44726902454988e-07	-0.664250709416555
KLF2	3.06860777890351e-13	4.44334406385229e-09	-0.692483659808802
LYAR	5.31606870674286e-12	7.69766748736366e-08	-0.761527952770248
DUSP1	6.16755859483615e-19	8.93062484532274e-15	-0.826996220458143
IL7R	5.12774704057315e-48	7.42497771474992e-44	-0.9486739476501
