gene	pVal	padj	log2FC
MALAT1	4.74150659817904e-71	6.86570155416325e-67	-0.292650703275466
EIF3E	1.77406063530416e-10	2.56883979992043e-06	-0.297934824430887
ZC3H15	0.000233607620911	1	-0.297962366017784
SLC2A3	6.02044533672338e-05	0.871760484757545	-0.301479647085529
IFITM1	1.99371654505076e-10	2.8869015572335e-06	-0.30657710056466
SYNE2	3.81726273729754e-07	0.005527396443607	-0.306903083294239
TUBA4A	4.47925903840865e-06	0.064859670876157	-0.307165028784318
TOMM20	3.0034892400405e-08	0.000434905241958	-0.30916645782275
SAT1	7.73854885614206e-07	0.011205418743694	-0.310936613095908
PRDX2	1.35160193291058e-06	0.019571195988545	-0.313104237347578
SRRM2	1.16979388384578e-06	0.016938615438087	-0.314176970049832
EEF1B2	3.53504680823534e-42	5.11874777832477e-38	-0.315470720533583
S100A10	5.53156059191126e-32	8.00969973708751e-28	-0.316310016207699
RPL36A	6.34943583728274e-26	9.19398309238541e-22	-0.317619009456234
RELB	0.000178712171815	1	-0.319484726359233
JUNB	5.99645944271617e-06	0.08682873273053	-0.32153516541572
TAF1D	1.26799213425691e-05	0.183605261040401	-0.32188319495396
HNRNPDL	2.27350018986176e-21	3.29202827491983e-17	-0.322280889132242
TUBB4B	4.27713166397776e-09	6.1932866494398e-05	-0.32780716885244
EPC1	2.76968107541813e-10	4.01049819720545e-06	-0.329346783753435
SNX9	5.95236142993141e-05	0.861901935054068	-0.330369862955083
KRAS	2.03471299589723e-07	0.002946264418059	-0.330519766066349
CCNL1	9.11672707674258e-06	0.132010208071233	-0.334099144568107
FUS	9.77813424032649e-08	0.001415873837999	-0.33483381673084
TUBA1B	8.32763882938896e-18	1.20584210249552e-13	-0.343349964210771
RPL27A	4.50864510545118e-31	6.52851811269331e-27	-0.345047155612795
CYTIP	1.59692691871465e-14	2.31235017829882e-10	-0.349956784279168
HIF1A	0.000184606442768	1	-0.350220663458113
SBDS	9.90228817966141e-06	0.143385132841497	-0.353264788255351
TUBB	2.09097411056308e-23	3.02773051209534e-19	-0.356251362105214
TNFAIP3	1.78828703171557e-09	2.58943962192415e-05	-0.356490625859781
FOXP1	5.64377692702404e-07	0.008172188990331	-0.357166446667309
CNIH1	5.69274106158728e-05	0.824308905717838	-0.358854514624809
TMEM123	7.08948471632314e-06	0.102655738692359	-0.363146836148561
EMP3	2.35018959236256e-32	3.40307452974099e-28	-0.369040875052739
SRSF2	3.22767882167017e-07	0.004673678933778	-0.369341860801097
IMPDH2	1.45351531575859e-05	0.210469017721844	-0.373977696264836
ZFAS1	1.80565494196126e-20	2.61458835595991e-16	-0.379559249709699
ARID5B	1.20112474067232e-07	0.001739228624494	-0.381481519118786
PLIN2	2.92751468807536e-07	0.004239041268333	-0.385271150024747
RORA	2.1845881911882e-06	0.031632837008405	-0.389944416953305
EML4	1.61742023146035e-10	2.34202449515459e-06	-0.394026438216816
TSC22D3	6.36103437309523e-26	9.21077777224189e-22	-0.397782015174601
LGALS3	9.36269461187965e-15	1.35571817980017e-10	-0.398511318861084
LEPROTL1	3.78769407768758e-15	5.48458102449162e-11	-0.409451813572277
UPP1	6.00505430607284e-07	0.008695318635193	-0.410016586805462
ODC1	2.27523427507932e-09	3.29453923031485e-05	-0.419279771829015
TUBA1C	6.7696292633271e-09	9.80242317329765e-05	-0.423917795885519
NEAT1	2.56572316600264e-17	3.71516714437183e-13	-0.430055844762341
PPP1R15A	2.46924277596876e-19	3.57546353960277e-15	-0.43366462007175
ANXA1	1.83043789351537e-25	2.65047406981025e-21	-0.442037543725655
CD69	9.40075073675744e-09	0.000136122870668	-0.442893826591234
DDIT4	0.000229677873603	1	-0.449481943014134
IER2	1.83399740959482e-08	0.000265562824909	-0.449994824906214
SNHG8	1.25124473502488e-11	1.81180237631602e-07	-0.457936422857102
LINC00623	2.83080478806179e-07	0.004099005333113	-0.462860954400246
NFKBIA	3.78031623430079e-23	5.47389790726754e-19	-0.473185854913274
TUBA1A	1.10178678718623e-18	1.59538726784566e-14	-0.476639098507817
KLF6	4.78648847194994e-60	6.93083530738351e-56	-0.485133289459523
CD44	5.22497262612232e-29	7.56576036262512e-25	-0.502475363149513
MCUB	1.9971580501811e-17	2.89188485666223e-13	-0.537176351488542
RGCC	1.44995576662054e-11	2.09953595006655e-07	-0.556193885585367
MBP	5.53435687924452e-14	8.01374876114606e-10	-0.574083384170192
LTB	7.693393276024e-25	1.11400334636827e-20	-0.626291397095202
TTC39C	2.15705885488734e-15	3.12342122187687e-11	-0.646681004565035
FAM102A	5.14314159153997e-11	7.44726902454988e-07	-0.664250709416555
KLF2	3.06860777890351e-13	4.44334406385229e-09	-0.692483659808802
LYAR	5.31606870674286e-12	7.69766748736366e-08	-0.761527952770248
DUSP1	6.16755859483615e-19	8.93062484532274e-15	-0.826996220458143
IL7R	5.12774704057315e-48	7.42497771474992e-44	-0.9486739476501
