gene	p_val	log2FC	pct.1	pct.2	padj
RNF19A	3.83666093453896e-07	0.656058783757325	0.498	0.335	0.00803013133599004
ADGRE5	3.82875742078987e-12	0.649653534813817	0.701	0.583	8.01358928171319e-08
ARPC5L	1.3997205714874e-06	0.632101757476811	0.424	0.328	0.0292961515612312
TUBA4A	1.44607849850097e-10	0.629622360024125	0.688	0.582	3.02664229736252e-06
LITAF	2.44774988576514e-07	0.614424271241515	0.528	0.417	0.00512314051090643
HLA-DRB1	1.71510721181915e-09	0.525990076344717	0.745	0.613	3.58971939433748e-05
CD7	2.54950612306967e-16	0.506522151451093	0.874	0.782	5.33611631558483e-12
HSPA5	8.52662315829814e-09	0.506519796872575	0.732	0.665	0.00017846222270318
EZR	7.23667928738827e-08	0.500594545732938	0.684	0.631	0.00151463697485037
CD74	2.67281083841801e-24	0.48063097351972	0.974	0.917	5.5941930848089e-20
HLA-DPB1	4.77595590612859e-08	0.469747364928284	0.74	0.61	0.000999607571152715
PNRC1	4.46642900400983e-09	0.468788516898509	0.766	0.684	9.34823590539258e-05
HLA-DPA1	1.56665867287577e-07	0.46065024359844	0.697	0.635	0.00327901660232898
SAT1	2.15931143228386e-06	0.460528744698039	0.645	0.578	0.0451943882777011
NKG7	1.64764164872327e-11	0.439215819107964	0.957	0.78	3.4485139707778e-07
UBB	5.41190997970421e-09	0.365950116440432	0.848	0.796	0.000113271275875209
ZFP36L2	1.64095411294058e-06	0.335054177230948	0.818	0.775	0.0343451695838464
EIF1	1.50006345165019e-15	0.259980720731019	0.987	0.984	3.13963280430384e-11
UBC	7.68283009620853e-12	0.245771686152474	0.987	0.984	1.60801633913644e-07
RPS26	6.1430683355661e-13	0.243326784881577	0.974	0.956	1.28574420263399e-08
GAPDH	8.22587099896077e-12	0.219698193820577	0.987	0.977	1.72167480008249e-07
FTL	7.91501626619742e-08	0.219352514579832	0.978	0.956	0.00165661290451512
H3-3B	9.95470634428128e-08	0.18708070955173	0.983	0.984	0.00208352003785807
HLA-C	5.40007904647431e-07	0.099526702282613	0.991	0.996	0.0113023654442707
HLA-A	1.16568446263733e-06	0.0812235953165601	1	1	0.0243977758029994
MT-CO2	1.82604525939384e-06	-0.152975052721209	0.952	0.989	0.038219127279113
ACTB	5.2534308914031e-12	-0.179588892084463	0.987	0.996	1.09954308557067e-07
ACTG1	6.97472659057926e-07	-0.19490938679453	0.931	0.975	0.0145981027540824
MT-CO3	5.65372884609148e-07	-0.196441240320017	0.913	0.979	0.0118332544748695
PFN1	4.82858555476933e-07	-0.201981945969827	0.931	0.973	0.0101062295661322
MT-CO1	5.99949901565297e-13	-0.227884495461211	0.961	0.989	1.25569514397617e-08
FOS	2.47285395425336e-07	-0.348453958239074	0.753	0.904	0.00517568332625228
S100A6	6.02243460677221e-07	-0.352759322319959	0.697	0.848	0.0126049556319742
CD52	1.30515048024656e-09	-0.358855969473823	0.823	0.897	2.73167995515605e-05
CD69	5.45243443646306e-08	-0.378451472859923	0.801	0.876	0.00114119452755172
MT-ATP6	1.43409933299609e-12	-0.392225726851603	0.805	0.949	3.00156990396082e-08
MYL12A	6.92577570094024e-09	-0.399453581106943	0.71	0.856	0.000144956485420679
MT-ND4L	1.78146491396805e-12	-0.443847035209148	0.74	0.911	3.72860606493514e-08
S100A4	3.26033221206198e-13	-0.462829037467621	0.766	0.904	6.82387531984572e-09
ALOX5AP	1.18488993004468e-07	-0.489034781293323	0.532	0.725	0.00247997462358351
PLAAT4	1.1921732636181e-07	-0.530075502688205	0.455	0.679	0.00249521864075268
ITM2B	2.45417088163751e-13	-0.623053904261512	0.563	0.784	5.1365796552673e-09
LCP2	5.43479108838135e-08	-0.623283835366766	0.372	0.596	0.00113750177479822
S100A11	2.10474681529477e-08	-0.63088054216126	0.403	0.603	0.000440523508441196
ENO1	1.76137739987724e-08	-0.647263657167816	0.368	0.615	0.000368656289794307
RESF1	1.39836731288434e-07	-0.661303394462355	0.32	0.528	0.00292678278586693
CCL4	5.92355367341054e-10	-0.665923058195028	0.576	0.743	1.23979978384483e-05
LCK	3.19575089362996e-11	-0.722401261255242	0.368	0.638	6.68870662036751e-07
CD2	8.17333397781353e-18	-0.735873541895226	0.558	0.801	1.71067880155637e-13
ARPC5	6.36889177287029e-08	-0.736288546212878	0.26	0.468	0.00133300904806175
ACTR3	1.70409803676232e-09	-0.741515671607173	0.325	0.548	3.56667719094354e-05
CTSC	3.89041555074737e-08	-0.76348434581322	0.251	0.473	0.000814263974771425
RBL2	1.3416955341161e-07	-0.786551133668763	0.195	0.401	0.002808168752905
CCND3	4.76374802328148e-08	-0.792516512512744	0.216	0.427	0.000997052461272813
CSTB	3.73425295104922e-08	-0.812393807021186	0.199	0.404	0.000781579142654602
TMOD3	2.05828854722954e-06	-0.842529111115171	0.095	0.246	0.0430799792935143
IL7R	1.1936241600871e-07	-0.856119428480324	0.268	0.44	0.0024982553670623
SELPLG	2.81008703827931e-08	-0.883539286252483	0.147	0.369	0.000588151217111859
CAPG	4.90232985394809e-09	-0.892136127788926	0.264	0.429	0.000102605763843133
DENND2D	4.32999457474234e-07	-0.913113807278237	0.087	0.255	0.00906267864493571
FKBP5	7.28187815063035e-11	-0.921935853060076	0.242	0.495	1.52409709692693e-06
ENSG00000224114	2.59040752056063e-07	-0.946562885276788	0.03	0.176	0.0054217229405334
TC2N	1.37994162430069e-06	-0.947829479378857	0.056	0.188	0.0288821781966134
GIMAP4	4.47743436535045e-09	-0.994105700354892	0.13	0.362	9.37127012667848e-05
GPR183	2.26883683653273e-06	-0.997121274985404	0.052	0.193	0.0474867549886301
RGL4	5.42361623779635e-08	-1.00061866816964	0.035	0.176	0.00113516287857078
THEMIS	1.45174191099599e-11	-1.10065107274768	0.126	0.363	3.03849581971461e-07
GIMAP7	2.21422230047588e-11	-1.19602398461204	0.117	0.346	4.63436727489602e-07
CD40LG	1.21333697600166e-09	-1.21832434988099	0.013	0.129	2.53951429077148e-05
CISH	2.5951911286384e-10	-1.27464823370059	0.013	0.156	5.43173503224018e-06
KLRB1	1.29518938622095e-15	-1.37602293525255	0.195	0.441	2.71083138536044e-11
ENSG00000213058	8.12285365971058e-14	-1.39667623533217	0.052	0.294	1.70011327097742e-09
KLRG1	4.93613515229164e-12	-1.44421075763741	0.009	0.154	1.03313308737464e-07
